Id;addr:full;addr:street;addr:housenumber;addr:block;addr:floor;addr:housename;addr:postcode;addr:city;addr:place;latitud_v1;longitud_v1;latitud;longitud;estat
592;Carrer Mar Cantàbric, 58, Bústia 4;Carrer Mar Cantàbric;58;;;;17310 ;Lloret de Mar;;;;0,0;0,0;KO
593;Avinguda Verge de Montserrat, 20;Avinguda Verge de Montserrat;20;;;;17400 ;Breda;;41,7490685;2,5624332;41,749202969;2,562711596;OK
594;Carrer Camprodon, 57, 1r;Carrer Camprodon;57;;1;;17401 ;Arbúcies;;;;0,0;0,0;KO
595;Plaça de l'Ajuntament, 17;Plaça de l'Ajuntament;17;;;;17403 ;Sant Hilari Sacalm;;41,8778339;2,5077158;41,8778339;2,5077158;KO
596;Plaça Gravalosa,4;Plaça Gravalosa;4;;;;17403 ;Sant Hilari Sacalm;;;;0,0;0,0;KO
597;Carrer Sant Sebastià, 91;Carrer Sant Sebastià;91;;;;17430 ;Santa Coloma de Farners;;41,8613608;2,665829;41,861037319;2,667286005;OK
598;Carrer Raval, 45;Carrer Raval;45;;;;17450 ;Hostalric;;;;41,745751446;2,641342784;OK
599;Carrer Costa Brava, 26;Carrer Costa Brava;26;;;;17455 ;Caldes de Malavella;;;;41,840460396;2,809381209;OK
600;Carrer Sant Jordi, 7;Carrer Sant Jordi;7;;;;17457 ;Riudellots de la Selva;;41,8968563;2,801921;41,896851978;2,802839941;OK
601;Carretera de Juià, 46;Carretera de Juià;46;;;;17460 ;Celrà;;42,0264736;2,8843958;42,026918511;2,873896585;OK
602;Travessera Pou Vila, 8;Travessera Pou Vila;8;;;;17460 ;Celrà;;;;42,024685469;2,88026244;OK
603;Carrer Precessó, 0;Carrer Precessó;;;;;17462 ;Madremanya;;;;0,0;0,0;KO
604;Plaça de l'Abadia, 1;Plaça de l'Abadia;1;;;;17485 ;Vila-sacra;;42,2660406;3,0180324;42,2660406;3,0180324;KO
605;Carrer Sant Sebastià, 39;Carrer Sant Sebastià;39;;;;17493 ;Vilajuïga;;;;0,0;0,0;KO
606;Carrer Méndez Núñez, 2 (Centre Cívic);Carrer Méndez Núñez;2;;;Centre Cívic;17497 ;Portbou;;;;0,0;0,0;KO
608;Carrer Major, 51;Carrer Major;51;;;;17520 ;Puigcerdà;;42,4334268;1,9258295;42,408295952;1,942582789;OK
609;Plaça Clavé, s/n, 2n local 5;Plaça Clavé;s/n;;2;;17530 ;Campdevànol;;;;0,0;0,0;KO
610;Carrer Eres, 6 (Apartat de Correus 41 );Carrer Eres;6;;;;17534 ;Ribes de Freser;;;;42,306424884;2,169182209;OK
611;Plaça de l'Ajuntament, 1;Plaça de l'Ajuntament;1;;;;17535 ;Planoles;;;;0,0;0,0;KO
613;Carrer Pere III, 93;Carrer Pere III;93;;;;17600 ;Figueres;;;;42,2605893;2,953632681;OK
614;Carrer Puig Rom, 36, baixos;Carrer Puig Rom;36;;;;17600 ;Figueres;;;;42,274402919;2,959890451;OK
615;Plaça Remei Bosch, s/n;Plaça Remei Bosch;s/n;;;;17600 ;Figueres;;;;0,0;0,0;KO
616;Carrer Bisbe Lorenzana, 15 (Institut Municipal de Promoció de la Ciutat);Carrer Bisbe Lorenzana;15;;;Institut Municipal de Promoció de la Ciutat;17800 ;Olot;;;;42,18134591;2,491112953;OK
617;Carrer Proa, 16, 1r A;Carrer Proa;16;;1;;17800 ;Olot;;;;42,182428779;2,492338945;OK
618;Carrer Barcelona, 52 B, 1r 2a;Carrer Barcelona;52 B;;1;;17820 ;Banyoles;;;;42,114697934;2,772347589;OK
619;Carrer Barcelona, 52, baixos (Centre Cívic);Carrer Barcelona;52;;;Centre Cívic;17820 ;Banyoles;;;;42,114795057;2,772441072;OK
620;Carrer Barcelona, 52, baixos (Centre Cívic);Carrer Barcelona;52;;;Centre Cívic;17820 ;Banyoles;;;;42,114795057;2,772441072;OK
621;Carrer Maria Montessori, s/n;Carrer Maria Montessori;s/n;;;;17820 ;Banyoles;;;;42,111210349;2,768078357;OK
622;Plaça Santa Maria, 6;Plaça Santa Maria;6;;;;17820 ;Banyoles;;;;0,0;0,0;KO
623;Carrer Pau Casals, 16;Carrer Pau Casals;16;;;;17833 ;Fontcoberta;;42,1459026;2,7710138;42,146377831;2,771219102;OK
624;Plaça de la Renaixença, s/n (Centre Cívic);Plaça de la Renaixença;s/n;;;Centre Cívic;17841 ;Sarrià de Ter;;;;0,0;0,0;KO
625;Carrer Mare de Déu del Prat, 1, 5e 2a;Carrer Mare de Déu del Prat;1;;5;;17860 ;Sant Joan de les Abadesses;;;;0,0;0,0;KO
626;Carrer Cabanya del Pinter, s/n;Carrer Cabanya del Pinter;s/n;;;;17861 ;Ogassa;;;;0,0;0,0;KO
627;Plaça d'Espanya, 2 (Ajuntament de Camprodon);Plaça d'Espanya;2;;;Ajuntament de Camprodon;17867 ;Camprodon;;;;0,0;0,0;KO
628;Carrer Alfons II, 14, 2n;Carrer Alfons II;14;;2;;25001 ;Lleida;;;;41,611698022;0,632855507;OK
629;Plaça Joan XXIII, 1;Plaça Joan XXIII;1;;;;25001 ;Lleida;;;;0,0;0,0;KO
630;Avinguda Blondel, 34, 6-1;Avinguda Blondel;34;;6;;25002 ;Lleida;;;;41,613682486;0,625714036;OK
631;Carrer de la Palma, 39;Carrer de la Palma;39;;;;25002 ;Lleida;;41,6140396;0,6230032;41,614831777;0,621745729;OK
632;Carrer de la Palma, 6-10 (Centre de Recursos Juvenils  PALMA);Carrer de la Palma;6-10;;;Centre de Recursos Juvenils PALMA;25002 ;Lleida;;;;41,614831777;0,621745729;OK
633;Carrer La Palma, 6-10;Carrer La Palma;6-10;;;;25002 ;Lleida;;;;41,614831777;0,621745729;OK
634;Plaça Cervantes, 8, bxs.;Plaça Cervantes;8;;;;25002 ;Lleida;;;;0,0;0,0;KO
635;Plaça Sant Llorenç, 1;Plaça Sant Llorenç;1;;;;25002 ;Lleida;;;;0,0;0,0;KO
636;Carrer d'Artur Mor, 1;Carrer d'Artur Mor;1;;;;25003 ;Lleida;;;;41,612728013;0,611406794;OK
637;Carrer Mercè, 1;Carrer Mercè;1;;;;25003 ;Lleida;;;;0,0;0,0;KO
638;Carrer Pius XII, s/n (Centre Cívic);Carrer Pius XII;s/n;;;Centre Cívic;25003 ;Lleida;;;;41,615853755;0,616516707;OK
639;Passeig Pius XII, 6, baixos;Passeig Pius XII;6;;;;25003 ;Lleida;;;;41,614993516;0,614145315;OK
640;Avinguda Prat de la Riba, 94;Avinguda Prat de la Riba;94;;;;25004 ;Lleida;;41,6250449;0,631761;41,62433364;0,631652028;OK
641;Avinguda de Sant Pere, 3;Avinguda de Sant Pere;3;;;;25005 ;Lleida;;41,6371632;0,6285715;41,635845022;0,62908519;OK
642;Carrer Pintor Xavier Gose, 17, 1r 3a;Carrer Pintor Xavier Gose;17;;1;;25005 ;Lleida;;;;41,62454113;0,633366507;OK
643;Carrer Sant Pere Claver, 5 (Local Social);Carrer Sant Pere Claver;5;;;Local Social;25005 ;Lleida;;;;41,626105747;0,638113146;OK
644;Carrer Terrassa, 1;Carrer Terrassa;1;;;;25005 ;Lleida;;;;41,62754745;0,626627417;OK
645;Carrer Terrassa, 1 (Centre Cívic);Carrer Terrassa;1;;;Centre Cívic;25005 ;Lleida;;;;41,62754745;0,626627417;OK
646;Gran Passeig de Ronda, 64, 8è 4a;Gran Passeig de Ronda;64;;8;;25006 ;Lleida;;;;41,615714371;0,614214861;OK
647;Passeig de Ronda, 115;Passeig de Ronda;115;;;;25006 ;Lleida;;;;41,678535221;0,476506408;OK
